Ticker,yearly_return,close
TRENT,223.09261327764563,6652.8
BEL,101.7600574712644,280.85
M&M,95.97697411213734,3012.95
BAJAJ-AUTO,89.01115330562449,9481.65
BHARTIARTL,69.599048957095,1569.3
POWERGRID,68.8549235780506,336.95
BPCL,67.47715022263885,285.85
HEROMOTOCO,58.97665472874388,4794.1
SUNPHARMA,57.28240395987558,1795.3
HCLTECH,53.25744732380721,1898.4
