Ticker,year,month,first,last,monthly_return,type
KOTAKBANK,2024,4,1790.7,1623.95,-9.312000893505333,Loser
HDFCLIFE,2024,4,634.75,583.65,-8.0504135486412,Loser
APOLLOHOSP,2024,4,6457.25,5947.1,-7.900422006272015,Loser
SUNPHARMA,2024,4,1629.25,1502.1,-7.804204388522332,Loser
BEL,2024,5,234.75,295.95,26.0702875399361,Gainer
M&M,2024,5,2185.15,2506.25,14.69464338832574,Gainer
HEROMOTOCO,2024,5,4561.5,5119.6,12.235010413241266,Gainer
ADANIENT,2024,5,3039.6,3411.35,12.230227661534412,Gainer
BRITANNIA,2024,5,4759.65,5179.8,8.827329740632202,Gainer
TATAMOTORS,2024,5,1027.8,923.0,-10.196536291107215,Loser
TITAN,2024,5,3568.45,3241.9,-9.151031960655178,Loser
SHRIRAMFIN,2024,5,2582.1,2354.05,-8.83195848340497,Loser
DRREDDY,2024,5,1257.5,1158.37,-7.883101391650108,Loser
ONGC,2024,5,282.8,264.35,-6.52404526166902,Loser
TRENT,2024,6,4662.2,5479.85,17.5378576637639,Gainer
SHRIRAMFIN,2024,6,2509.15,2911.5,16.035310762608848,Gainer
WIPRO,2024,6,444.1,514.85,15.931096599864894,Gainer
TECHM,2024,6,1245.35,1430.35,14.855261573051754,Gainer
GRASIM,2024,6,2368.8,2670.45,12.734295845997956,Gainer
ADANIENT,2024,6,3645.25,3177.15,-12.841368904739042,Loser
LT,2024,6,3897.15,3548.45,-8.947564245666712,Loser
BPCL,2024,6,333.08,303.95,-8.745646691485529,Loser
COALINDIA,2024,6,512.35,473.15,-7.6510198106763045,Loser
ADANIPORTS,2024,6,1583.95,1478.1,-6.682660437513818,Loser
ONGC,2024,7,272.95,334.2,22.44000732734933,Gainer
HDFCLIFE,2024,7,600.75,715.5,19.101123595505616,Gainer
INFY,2024,7,1590.8,1868.25,17.44091023384461,Gainer
SBILIFE,2024,7,1501.85,1753.65,16.765988614042694,Gainer
ITC,2024,7,429.05,495.35,15.452744435380495,Gainer
AXISBANK,2024,7,1261.9,1166.1,-7.591726761233075,Loser
BAJFINANCE,2024,7,7276.75,6806.95,-6.456178926031542,Loser
HDFCBANK,2024,7,1705.2,1615.75,-5.2457189772460735,Loser
TATASTEEL,2024,7,174.07,165.33,-5.020968575860276,Loser
NESTLEIND,2024,7,2568.1,2456.35,-4.351466064405591,Loser
TRENT,2024,8,5770.8,7158.75,24.051258057808273,Gainer
BAJAJ-AUTO,2024,8,9730.5,10891.55,11.932069266738598,Gainer
BAJAJFINSV,2024,8,1634.8,1783.05,9.068387570344996,Gainer
SHRIRAMFIN,2024,8,2989.25,3204.5,7.20080287697583,Gainer
CIPLA,2024,8,1546.2,1654.9,7.030138403828744,Gainer
MARUTI,2024,8,13359.05,12403.0,-7.156571762213626,Loser
ADANIPORTS,2024,8,1590.15,1481.9,-6.807533880451529,Loser
POWERGRID,2024,8,361.1,337.4,-6.563278870119092,Loser
TATASTEEL,2024,8,163.06,152.76,-6.31669324175151,Loser
ADANIENT,2024,8,3217.25,3019.35,-6.151216100707129,Loser
M&M,2024,9,2777.0,3094.9,11.44760532949226,Gainer
BAJAJ-AUTO,2024,9,11126.1,12345.95,10.963859753192946,Gainer
SHRIRAMFIN,2024,9,3225.25,3576.95,10.904581040229434,Gainer
HINDALCO,2024,9,683.9,756.2,10.571721011843847,Gainer
TATASTEEL,2024,9,152.88,168.55,10.249869178440619,Gainer
TATAMOTORS,2024,9,1092.65,974.65,-10.799432572186895,Loser
ONGC,2024,9,326.2,297.6,-8.767627222562835,Loser
TCS,2024,9,4521.05,4268.5,-5.586091726479473,Loser
INFY,2024,9,1964.5,1875.6,-4.525324510053454,Loser
TECHM,2024,9,1646.65,1577.2,-4.2176540248383105,Loser
SBIN,2024,10,796.95,820.2,2.9173724825898737,Gainer
HDFCLIFE,2024,10,710.2,720.15,1.4010137989298692,Gainer
ICICIBANK,2024,10,1274.4,1292.25,1.4006591337099739,Gainer
WIPRO,2024,10,546.75,551.8,0.9236396890717795,Gainer
HDFCBANK,2024,10,1726.2,1735.7,0.5503417912177037,Gainer
INDUSINDBK,2024,10,1409.7,1055.6,-25.11881960700859,Loser
BAJAJ-AUTO,2024,10,12157.45,9836.3,-19.09240835866075,Loser
NESTLEIND,2024,10,2707.05,2262.95,-16.405312055558646,Loser
TATACONSUM,2024,10,1196.25,1002.55,-16.192267502612335,Loser
MARUTI,2024,10,13166.0,11076.45,-15.870803584991638,Loser
TECHM,2024,11,1603.65,1747.45,8.967043931032329,Gainer
INFY,2024,11,1760.85,1902.25,8.030212681375478,Gainer
HCLTECH,2024,11,1757.4,1898.4,8.02321611471492,Gainer
M&M,2024,11,2817.65,3012.95,6.931308004897689,Gainer
TCS,2024,11,3984.2,4244.6,6.535816475076567,Gainer
ADANIENT,2024,11,2949.5,2228.0,-24.461773181895236,Loser
ADANIPORTS,2024,11,1394.4,1136.75,-18.477481353987383,Loser
ASIANPAINT,2024,11,2939.85,2472.2,-15.90727418065548,Loser
BRITANNIA,2024,11,5693.05,4848.35,-14.837389448538127,Loser
NTPC,2024,11,411.35,365.45,-11.158380940804676,Loser
