Ticker,Volatility
ADANIENT,2.8600523792508787
ADANIPORTS,2.6028643454512657
BEL,2.3283392059875134
TRENT,2.307379893265215
ONGC,2.224731217568337
BPCL,2.2068851102665
SHRIRAMFIN,2.168666460862403
COALINDIA,2.1411449147905546
HINDALCO,1.9586836411430935
NTPC,1.9475011701296694
M&M,1.9212772948786867
INDUSINDBK,1.9111193335251302
POWERGRID,1.8671442296664318
TATASTEEL,1.8231639152358905
SBIN,1.7939344821740195
TATAMOTORS,1.7876505156417162
BAJAJ-AUTO,1.7609369939821526
WIPRO,1.7467886281905283
LT,1.6963904150046492
HEROMOTOCO,1.6563238026907092
JSWSTEEL,1.6383932356722215
CIPLA,1.6332415765760364
EICHERMOT,1.6098898407438091
TECHM,1.6019868874918946
BAJFINANCE,1.5918494897734468
AXISBANK,1.5624964929158447
SBILIFE,1.5113428426196436
TATACONSUM,1.48047736681353
HDFCLIFE,1.4630077258587257
INFY,1.4491913053868204
GRASIM,1.446511381198158
ULTRACEMCO,1.431459670688822
HCLTECH,1.4294650681131722
KOTAKBANK,1.4215663882255638
TITAN,1.4135893038630176
APOLLOHOSP,1.4134574705070773
BAJAJFINSV,1.4117849543856995
MARUTI,1.3712493772447978
BHARTIARTL,1.3624507728829287
RELIANCE,1.3562067130073356
HDFCBANK,1.348980040538228
TCS,1.316177158710607
BRITANNIA,1.3039218369984167
ICICIBANK,1.2788897388104723
ASIANPAINT,1.2664679670924879
NESTLEIND,1.2516833638236864
DRREDDY,1.2490100212885844
HINDUNILVR,1.2073895796063712
ITC,1.1943702458319614
SUNPHARMA,1.1732822937748233
